,mean_df1,std_df1,mean_df2,std_df2,mean_diff,abs_mean_diff,z-score
act,0.4501347708894879,0.9412864877697904,0.028971028971028972,0.1736658865748831,0.4211637419184589,0.4211637419184589,2.4251380062304695
classroom,0.1078167115902965,0.41488302335877675,0.001998001998001998,0.04467666052878164,0.1058187095922945,0.1058187095922945,2.36854564194931
networks,0.1078167115902965,0.5781782469390226,0.001998001998001998,0.04467666052878164,0.1058187095922945,0.1058187095922945,2.36854564194931
targets,0.07547169811320754,0.34440231209330857,0.000999000999000999,0.0316069770620507,0.07447269711420655,0.07447269711420655,2.3562106862672136
legality,0.07547169811320754,0.33646329245522655,0.000999000999000999,0.0316069770620507,0.07447269711420655,0.07447269711420655,2.3562106862672136
attacks,0.18598382749326145,0.7748881626419442,0.003996003996003996,0.07735642173740964,0.18198782349725745,0.18198782349725745,2.3525884394578704
construct,0.1293800539083558,0.381284306962945,0.002997002997002997,0.05469011785513898,0.1263830509113528,0.1263830509113528,2.3108937385381254
consequences,0.660377358490566,0.9082319431847307,0.053946053946053944,0.26284389490135224,0.6064313045445121,0.6064313045445121,2.3071918971985688
exercise,0.33962264150943394,0.9229909477606694,0.015984015984015984,0.14051425459452768,0.32363862552541794,0.32363862552541794,2.30324408338015
engineering,0.1778975741239892,0.5841574207208947,0.005994005994005994,0.07722717115132448,0.17190356812998323,0.17190356812998323,2.225946717550265
researcher,0.12398921832884097,0.423296254179458,0.002997002997002997,0.05469011785513898,0.12099221533183797,0.12099221533183797,2.212323177878632
vulnerable,0.07008086253369272,0.3826574841817877,0.000999000999000999,0.0316069770620507,0.06908186153469173,0.06908186153469173,2.1856522817436947
obtaining,0.07008086253369272,0.32952831799785776,0.000999000999000999,0.0316069770620507,0.06908186153469173,0.06908186153469173,2.1856522817436947
dilemmas,0.07008086253369272,0.285590415342445,0.000999000999000999,0.0316069770620507,0.06908186153469173,0.06908186153469173,2.1856522817436947
credit,0.20485175202156333,0.921853694856128,0.002997002997002997,0.0948209311861521,0.20185474902456033,0.20185474902456033,2.1287994802358545
procedural,0.9784366576819407,1.9658073736855213,0.0899100899100899,0.41941398630481064,0.8885265677718508,0.8885265677718508,2.118495321532055
promoting,0.39892183288409705,0.9739298614142957,0.025974025974025976,0.17698778298141182,0.37294780691007107,0.37294780691007107,2.1071952008644574
raises,0.1940700808625337,0.5199453042385547,0.007992007992007992,0.08908458865630989,0.1860780728705257,0.1860780728705257,2.0887796158370175
harm,0.7223719676549866,1.2481384112743867,0.058941058941058944,0.3217490909427368,0.6634309087139276,0.6634309087139276,2.0619511519676728
tutorial,0.4797843665768194,1.927467448282167,0.0,0.0,0.4797843665768194,0.4797843665768194,
latent,0.4501347708894879,1.2409973030236778,0.0,0.0,0.4501347708894879,0.4501347708894879,
insider,0.3692722371967655,1.668799296066327,0.0,0.0,0.3692722371967655,0.3692722371967655,
normative,0.3261455525606469,1.225336565061254,0.0,0.0,0.3261455525606469,0.3261455525606469,
stimulus,0.261455525606469,1.023558728317032,0.0,0.0,0.261455525606469,0.261455525606469,
simulation,0.2587601078167116,0.8497360951997943,0.0,0.0,0.2587601078167116,0.2587601078167116,
virus,0.20485175202156333,1.7937061638650469,0.0,0.0,0.20485175202156333,0.20485175202156333,
ideologically,0.1967654986522911,0.4838922110217532,0.0,0.0,0.1967654986522911,0.1967654986522911,
botnet,0.1778975741239892,1.6160167580979965,0.0,0.0,0.1778975741239892,0.1778975741239892,
pornography,0.11320754716981132,0.8902554796067887,0.0,0.0,0.11320754716981132,0.11320754716981132,
fraudulent,0.1078167115902965,0.6231726400344736,0.0,0.0,0.1078167115902965,0.1078167115902965,
promotes,0.10512129380053908,0.39898611213986346,0.0,0.0,0.10512129380053908,0.10512129380053908,
suicide,0.10512129380053908,0.6992278937586898,0.0,0.0,0.10512129380053908,0.10512129380053908,
victim,0.09973045822102426,0.5334993428041802,0.0,0.0,0.09973045822102426,0.09973045822102426,
disorders,0.09703504043126684,0.8228275878392691,0.0,0.0,0.09703504043126684,0.09703504043126684,
confidential,0.09433962264150944,0.4978280209055896,0.0,0.0,0.09433962264150944,0.09433962264150944,
instructor,0.0889487870619946,0.38225748371566637,0.0,0.0,0.0889487870619946,0.0889487870619946,
investigating,0.0862533692722372,0.29057209266533945,0.0,0.0,0.0862533692722372,0.0862533692722372,
household,0.0862533692722372,0.6350992520502867,0.0,0.0,0.0862533692722372,0.0862533692722372,
trades,0.07547169811320754,0.5692261044441147,0.0,0.0,0.07547169811320754,0.07547169811320754,
firearm,0.07277628032345014,0.7444116857776635,0.0,0.0,0.07277628032345014,0.07277628032345014,
harassment,0.0673854447439353,0.5335129975908579,0.0,0.0,0.0673854447439353,0.0673854447439353,
tutorial's,0.0673854447439353,0.44514001405388876,0.0,0.0,0.0673854447439353,0.0673854447439353,
ddos,0.0646900269541779,0.6418879235191521,0.0,0.0,0.0646900269541779,0.0646900269541779,
casualties,0.0646900269541779,0.584593735930739,0.0,0.0,0.0646900269541779,0.0646900269541779,
formulation,0.06199460916442048,0.3352051569832386,0.0,0.0,0.06199460916442048,0.06199460916442048,
explosive,0.06199460916442048,0.3875568798331356,0.0,0.0,0.06199460916442048,0.06199460916442048,
